ID,Webová stránka,Pôvodný názov firmy,Skrátený názov,Meno Decision Makera,Priezvisko/Oslovenie (variable),AI Pochvala (Icebreaker),Poznámka pre kontrolu
52105c77-3f9f-42f2-b04c-581357fd8043,https://www.autograc.sk/,"Autográč - Online Svet Vozidiel - Servis a Predaj Jazdených Áut","Autográč","","","Naozaj ma zaujalo, že vaša rodinná firma pôsobí úspešne už od roku 1999 a stále inovuje, napríklad otvorením vlastnej kaviarne pre zákazníkov – v dnešnej dobe je takýto dôraz na komfort a dlhodobé vzťahy naozaj výnimočný.","No specific decision maker (Owner, CEO, Founder) name found on the website. The website mentions 'rodinný svet firmy Autográč' and a customer review mentions 'majiteľ', but no name is provided."
4dcbdd73-a41e-4961-a0bc-308a3b9b480f,https://www.magpiegarage.sk/kontakt/,"Kontakt | Magpie Garage | Autoservis Pezinok","Magpie Garage","","","Naozaj ma zaujalo, že v Magpie Garage ponúkate špičkovú starostlivosť v profesionálnom autoservise a motoservise – v dnešnej dobe je takýto dôraz na kvalitu a spokojnosť zákazníkov mimoriadne dôležitý.","Decision maker's name not found on the provided contact page content."
b35917fa-1a52-489c-8779-3426d41cfb2f,https://bpcauto.sk/,"Autoservis Pezinok | BPC Auto – Renault, Dacia, servis","BPC Auto","","","Naozaj ma zaujalo, že sa môžete pochváliť viac ako 15 rokmi skúseností v autoservise – v dnešnej dobe je takáto dlhoročná odbornosť a stabilita naozaj cenná.","Decision maker's name (Owner/CEO/Founder) is not available on the provided website content. Only a phone number for 'Vedenie' is listed."
ff12bddd-8387-4e55-bdf7-863768c7d34e,https://autoservisjkm.sk/,"Autoservis JKM – Pezinok, Bratislava","Autoservis JKM","","","Naozaj ma zaujalo, že ste rodinný autoservis s dlhoročnými skúsenosťami, ktorý ponúka kompletné riešenie poistných udalostí vrátane náhradného vozidla zdarma – v dnešnej dobe je takýto proklientský a komplexný prístup skutočne cenný.","No specific decision maker (Owner, CEO, Founder) name found on the website content provided. The company mentions being a 'rodinný autoservis' (family auto service), but no individual names are listed."
36aae3e9-f8a7-47b3-b212-be1b5ff6a362,https://www.autoservis-grancic.sk/,"Autoservis Pezinok - Autoservis Grančič","Grančič","","","Naozaj ma zaujalo, že ste sa v roku 2006 začínali v malej prevádzke a dnes ponúkate takú komplexnú škálu služieb vrátane špecializácie na transportné chladenie – v dnešnej dobe je takáto evolúcia a zameranie na komplexnosť naozaj obdivuhodné.","Owner/CEO/Founder not explicitly named on the website. Only operational contacts (Peter Kľúčik, Jozef Slezák) are listed. Company GXB, s.r.o. is mentioned as the legal entity."
23511016-72b0-4253-8612-3be67fec9d92,https://autoservis-petrolhead.sk/,"Autoservis Petrolhead - Spoľahlivý autoservis Pezinok","Petrolhead","","","Naozaj ma zaujalo, že zákazníci oceňujú vašu transparentnosť a čestnosť pri servise – v dnešnej dobe je takýto prístup skutočne cenný.","Only first names (Clara, Peťo) are provided for key personnel; full names and last names are not available on the website."
90c483af-4c7d-4fd8-8d37-ae7cb68c8b12,http://jrservis.sk/,"Autoservis J.R.SERVIS","JR Servis","","","Naozaj ma zaujalo, že JR Servis úspešne pôsobí už od roku 1999 a ponúka tak široké spektrum autoservisných služieb – v dnešnej dobe je takáto dlhoročná tradícia a komplexnosť skutočne cenná.","Decision maker's name not found on the website content provided."
125b7c49-1c22-4781-a54e-7582b5f4f4f8,https://wexim.sk/,"WEXIM Rožňava – Viac než len autoservis.","WEXIM","","","Naozaj ma zaujalo, že spolupracujete s VW Group a zároveň dosahujete 98% spokojnosť zákazníkov – v dnešnej dobe je to jasný signál mimoriadnej kvality a dôvery.","No specific decision maker (Owner, CEO, Founder) identified on the website content provided."
bf561f1e-e35f-46bb-bb1f-5df6da990c8b,https://citroenroznava.sk/autoservis-roznava/,"Autoservis Rožňava | Kontrola vozidla od 20 eur | Odťahová služba","Autostop RV","","","Naozaj ma zaujalo, že v Autostop RV venujete vozidlám tú najlepšiu starostlivosť a ponúkate tak široké spektrum služieb – v dnešnej dobe je takýto komplexný prístup naozaj cenný.","No specific decision maker (Owner, CEO, Founder) found on the provided website content."
45f01447-68fd-4526-8d48-aac26e542b04,https://www.adresarfiriem.sk/autoservisy/snina/,"Autoservisy Snina","AutoFer Team","","","Naozaj ma zaujalo, že v AutoFer Team opravujete aj diely, ktoré sa bežne vymieňajú za nové – v dnešnej dobe je takýto prístup k úsporám a odbornosti naozaj cenný.","No specific decision maker (owner, CEO, founder) was mentioned on the website content provided. The text refers to 'Náš profesionálny tím' and 'Naši odborníci'."
7ed22b26-9dd0-408d-820f-d354c40c84dd,https://www.kame.sk/autoservis/,"Prečo si vybrať práve servis Premio?","Kame","Miro Matovic"," pán Matovic","Naozaj ma zaujalo, že sa váš servis vždy snaží o 100% spokojnosť zákazníka – v dnešnej dobe je takýto záväzok voči klientom naozaj cenný.","Decision maker identified from email address, not explicitly stated as owner/CEO."
d154be6d-2692-4ef3-a048-ea191a31de9e,https://www.autoservisliptak.eu/,"Autoservis Lipták","Lipták","","","Naozaj ma zaujalo, že vaša spoločnosť nesie rodinné meno Lipták, čo v dnešnej dobe symbolizuje stabilitu a osobnú zodpovednosť.","No specific decision maker (owner/CEO) name found on the website. The company name 'Autoservis Lipták' suggests a family name, but no individual is identified."
f36acf48-570a-4d73-93d6-4bbd001381a5,https://www.europautopneu.sk/,"Najmodernejší autoservis a pneuservis v Brezne | Europ Auto ...","Europ Auto Pneu","","","Naozaj ma zaujalo, že ste za viac ako 20 rokov pôsobenia pomohli už 900+ zákazníkom – v dnešnej dobe je to skutočne dôkaz dôvery a dlhodobej kvality.","No specific decision maker (Owner, CEO, Founder) name found on the provided website content."
